Transcript ID	Gene name	Poly(A) tags	Mean TL	Median TL	10th %ile, TL	25th %ile, TL	75th %ile, TL	90th %ile, TL	mRNA RPKM	RPF RPKM	log2(TE)
ENSDART00000035670	polr2eb	314	21.0	18.1	4.4	10.4	28.6	41.3	92.67	67.7	-0.452946537886
ENSDART00000024309	rb1	84	49.6	37.9	13.6	21.9	62.5	105.5	13.85	88.58	2.67709502095
ENSDART00000024304	per3	8	32.8	23.9	NA	NA	NA	NA	6.64	8.84	0.412863128045
ENSDART00000124168	ppp4r2b	242	69.3	65.8	7.0	23.5	114.3	141.8	46.8	600.18	3.6808148094
ENSDART00000006132	cfl1	3771	28.7	21.4	3.7	10.5	40.6	65.0	771.99	622.98	-0.309396311554
ENSDART00000019581	arih1	190	28.1	22.1	6.7	12.1	36.0	58.1	24.98	48.22	0.948858173995
ENSDART00000123274	papss1	119	39.0	33.1	7.0	16.8	55.3	76.2	NA	NA	NA
ENSDART00000081038	ndnl2	348	27.0	23.2	6.8	13.9	33.8	47.0	100.48	96.39	-0.0599529826991
ENSDART00000029797	faf2	456	56.7	52.4	24.5	37.2	73.7	94.8	64.72	252.64	1.96479956343
ENSDART00000143723	idi1	55	31.5	18.4	3.8	11.6	40.1	84.3	NA	NA	NA
ENSDART00000078916	smim7	222	33.3	26.5	8.3	15.6	46.2	63.5	NA	NA	NA
ENSDART00000135027	sgk2a	1	31.9	31.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000003715	actr6	33	82.3	73.7	44.8	55.4	107.1	144.6	12.22	25.33	1.05160279189
ENSDART00000025324	spns1	95	76.2	69.1	18.7	38.5	120.1	142.0	18.69	181.1	3.27644807209
ENSDART00000065183	cldn2	2	31.4	31.4	NA	NA	NA	NA	NA	NA	NA
ENSDART00000111506	fam211ba	311	18.6	17.3	4.4	10.3	25.1	31.8	NA	NA	NA
ENSDART00000013021	tlr3	1	22.7	22.7	NA	NA	NA	NA	NA	NA	NA
ENSDART00000047740	wdr32	272	25.7	21.3	4.4	12.2	35.0	50.5	25.39	22.59	-0.168576124254
ENSDART00000087566	trip12	169	60.0	54.2	12.6	30.8	82.5	112.4	26.25	47.96	0.869514235973
ENSDART00000129463	ago4	62	63.7	39.8	2.9	8.9	104.3	153.6	24.67	374.32	3.92344251306
