GeneID,TranscriptID,GeneName,2 hpf,4 hpf,6 hpf
ENSDARG00000009640,ENSDART00000007231,psmb1,18.2,38.2,81.5
ENSDARG00000074909,ENSDART00000145043,dcaf17,27.0,38.9,10.7
ENSDARG00000076334,ENSDART00000111486,mrpl43,21.7,32.0,41.9
ENSDARG00000010300,ENSDART00000007189,traf3ip1,28.7,30.8,37.1
ENSDARG00000017188,ENSDART00000104032,si:ch211-223m11.2,21.5,41.2,31.8
ENSDARG00000039913,ENSDART00000058383,tmem147,39.5,51.8,40.9
ENSDARG00000013079,ENSDART00000020192,tubgcp2,26.9,33.2,64.2
ENSDARG00000101557,ENSDART00000129480,scarb1,26.8,41.3,73.4
ENSDARG00000057272,ENSDART00000079866,slc30a9,30.2,31.6,64.3
ENSDARG00000063249,ENSDART00000092256,mrpl9,22.9,33.5,54.3
ENSDARG00000043734,ENSDART00000064219,trmu,37.2,36.2,48.6
ENSDARG00000036155,ENSDART00000139293,gla,27.7,9.9,16.9
ENSDARG00000025421,ENSDART00000028955,tdrd3,32.5,42.4,64.5
ENSDARG00000068919,ENSDART00000138460,rad51c,17.3,24.1,56.2
ENSDARG00000001313,ENSDART00000001444,g2e3,21.4,29.7,71.0
ENSDARG00000054799,ENSDART00000143948,rfc1,45.9,32.6,71.4
ENSDARG00000094992,ENSDART00000064083,otx1b,25.9,27.7,61.9
ENSDARG00000018623,ENSDART00000011785,rad54l,36.9,39.0,47.6
ENSDARG00000010316,ENSDART00000115253,qars,23.3,47.6,53.5
ENSDARG00000093182,ENSDART00000134690,eif2ak1,25.3,38.3,56.8
ENSDARG00000105185,ENSDART00000145658,snx7,17.8,29.7,32.8
ENSDARG00000060510,ENSDART00000085295,cul4b,24.2,45.8,57.0
ENSDARG00000032516,ENSDART00000045682,rrp36,21.0,38.6,50.5
ENSDARG00000086471,ENSDART00000124963,pkig,18.1,25.9,14.3
ENSDARG00000010862,ENSDART00000087151,amt,35.0,23.8,25.5
ENSDARG00000071562,ENSDART00000122727,mtus1a,31.6,26.6,32.9
ENSDARG00000032340,ENSDART00000042158,serhl,34.0,41.3,10.0
ENSDARG00000003250,ENSDART00000006120,pik3cd,55.0,32.9,2.6
ENSDARG00000057867,ENSDART00000051807,lasp1,31.3,26.1,54.3
ENSDARG00000025420,ENSDART00000031761,fzd5,27.1,25.5,44.9
ENSDARG00000054473,ENSDART00000141165,tinf2,22.7,42.7,74.4
ENSDARG00000041140,ENSDART00000100665,ddb2,21.6,30.6,23.4
ENSDARG00000053876,ENSDART00000075998,klhl26,22.8,33.1,2.8
ENSDARG00000030106,ENSDART00000048375,stmn4,20.3,45.0,32.0
ENSDARG00000076290,ENSDART00000063525,calr,28.6,33.3,34.7
ENSDARG00000030964,ENSDART00000067608,pde12,26.2,31.7,45.6
ENSDARG00000055162,ENSDART00000077484,zhx2,36.4,41.6,65.2
ENSDARG00000031761,ENSDART00000017956,dab2,19.1,29.9,25.5
ENSDARG00000035607,ENSDART00000145210,ankle2,26.8,27.1,38.3
ENSDARG00000006010,ENSDART00000066765,bmi1a,28.3,33.9,32.0
ENSDARG00000003017,ENSDART00000008490,zgc:55512,36.7,35.3,43.7
ENSDARG00000070604,ENSDART00000103857,zgc:162509,33.5,36.2,13.8
ENSDARG00000010169,ENSDART00000011143,myd88,29.0,31.2,67.7
ENSDARG00000009266,ENSDART00000048507,uevld,29.7,25.8,41.2
